artist,title,lyrics
selena-gomez,kygo   selena gomez   it ain t me  ,i had a dream you were everything to me highest floor  the bowery it was tall enough somewhere along the line we stopped seeing eye to eye you were staying out all night and i had enough no  i dont wanna know where youve been or where youre going but i know i wont be home and youll be on your own whos gonna walk you through the dark side of the morning  whos gonna rock you when the sun wont let you sleep  whos waking up to drive you home when youre lost and all alone  whos gonna walk you through the dark side of the morning  i had a dream we were back to seventeen summer nights and the liberties never growing up ill take with me the polaroids and the memories but you know im gonna leave behind the worst of us no  i dont wanna know where youve been or where youre going but i know i wont be home and youll be on your own whos gonna walk you through the dark side of the morning  whos gonna rock you when the sun wont let you sleep  whos waking up to take you home when youre lost and all alone  whos gonna walk you through the dark side of the morning  it aint me no  no  no  no it aint me  no whos gonna walk you through the dark side of the morning  whos gonna rock you when the sun wont let you sleep  whos waking up to take you home when youre lost and all alone  cause baby  it aint me
selena-gomez,hands to myself   selena gomez    ,cant keep my hands to myself no matter how hard im trying to i want you all to myself youre metaphorical gin and juice so come on give me a taste of what it s like to be next to you wont let one drop go to waste youre metaphorical gin and juice cause all of the downs and the uppers keep making love to each other and im trying  trying  im trying  trying all of the downs and the uppers keep making love to each other and im trying  trying  im trying  but i cant keep my hands to myself my hands to myself cant keep my hands to myself my hands to myself the doctors say youre no good but people say what they wanna say and you should know if i could id breathe you in every single day all of the downs and the uppers keep making love to each other and im trying  trying  im trying  trying all of the downs and the uppers keep making love to each other and im trying  trying  im trying  but i cant keep my hands to myself my hands to myself cant keep my hands to myself my hands to myself cant keep my hands to myself i want it all  no  nothing else cant keep my hands to myself give me your all and nothing else oh  i  i want it all i want it all  i want it all cant keep my hands to myself i mean i could  but why would i want to  my hands to myself cant keep my hands to myself my hands to myself cant keep my hands to myself i want it all  no  nothing else cant keep my hands to myself give me your all and nothing else cant keep my hands to myself
selena-gomez,come   get it   selena gomez    ,come and get it come and get it come and get it come and get it when youre ready come and get it na na na na  na na na na  na na na na when youre ready come and get it na na na na  na na na na  na na na na when youre ready  when youre ready when youre ready come and get it na na na na  na na na na  na na na na you aint gotta worry  its an open invitation ill be sitting right here real patient all day  all night  ill be waiting standby cant stop  because i love it hate the way i love you all day  all night maybe im addicted for life  no lie im not too shy to show i love you i got no regrets so baby  whenever youre ready when youre ready come and get it na na na na  na na na na  na na na na when youre ready come and get it na na na na  na na na na  na na na na when youre ready  when youre ready when youre ready come and get it na na na na  na na na na  na na na na you got the kind of love that i want  let me get that and baby  once i get it  im yours  no take backs gon love you for life  i aint leaving your side even if you knock it  aint no way to stop it forever  youre mine baby  im addicted  no lie  no lie im not too shy to show i love you i got no regrets so baby  whenever youre ready    when youre ready come and get it na na na na  na na na na  na na na na when youre ready come and get it na na na na  na na na na  na na na na when youre ready  when youre ready when youre ready come and get it na na na na  na na na na  na na na na this love will be the death of me but i know ill die happily ill know  ill know  ill know because you love me so yeah when youre ready come and get it na na na na  na na na na  na na na na when youre ready come and get it na na na na  na na na na  na na na na when youre ready  when youre ready when youre ready come and get it na na na na  na na na na  na na na na when youre ready  when youre ready when youre ready come and get it  when youre ready  when youre ready come and get it  get it  na na na na  na na na na  na na na na when youre ready come and get it na na na na  na na na na  na na na na when youre ready  when youre ready when youre ready come and get it  when youre ready  when youre ready come and get it  get it  na na na na  na na na na  na na na na come and get it come and get it come and get it when youre ready come and get it
selena-gomez,  selena gomez   i dive into the future but i m    ,i dive into the future but im blinded by the sun im reborn in every moment so who knows what ill become i feel like ive awakened lately the chains around me are finally breaking ive been under self restoration im becoming my own salvation showing up  no more hiding  hiding the light inside me is bursting  shining its my  my  my time to butterfly what ive learned is so vital more than just survival this is my revival this is a revival oh oh oh oh oh oh oh oh oh oh oh revival oh oh oh oh oh oh oh oh oh oh oh revival ill walk through the fire  ill begin again ill burn through my skin cause i  cause i wanna feel it reaching for the truth  not afraid to lose what shot out of me like a rifle was a revival  revival i admit  its been painful  painful but ill be honest  im grateful  grateful its my  my  my time to realize what ive learned is so vital more than just survival this is my revival this is a revival oh oh oh oh oh oh oh oh oh oh oh revival oh oh oh oh oh oh oh oh oh oh oh revival this wont take too long  youll see im just tryna get to me  ooh what shot out of me like a rifle was a revival what ive learned is so vital more than just survival this is my revival this is a revival oh oh oh oh oh oh oh oh oh oh oh revival oh oh oh oh oh oh oh oh oh oh oh revival what ive learned is so vital more than just survival this is my revival this is a revival
selena-gomez,selena gomez   bang a drum  ,you got my eye  and im trying to holla at ya youre walking by  and i trip on the furniture im on a ride that wont stop moving and i dont know exactly what im doing i see you shake  shake  and im spinning its like i won a win race  yeah  im winning im all dizzy when youre here with me so  lets bring the heat cause there aren t nothing to it  just got to do it  you got to own it  own it party to the beat of your own drum when its hot like that  party to the beat of your own drum when you got it like that  eh eh  yeah gotta make ya say  eh eh   so  bang a drum  bang a drum you got me floating ten feet off the ground its like whoa im up  and i cant come down my hearts pumping  its working overtime i got the crazy butterflies were doing it right when we  were together with you by my side  it dont get better with you on my team got it figured it out its you and me no doubt cause there aren t nothing to it  just got to do it  you got to own it  own it party to the beat of your own drum when its hot like that  party to the beat of your own drum when you got it like that  eh eh  yeah gotta make ya say  eh eh  yeah so  bang a drum  bang a drum yeah  bang a drum turn it up  bang a drum yeah  bang a drum turn it up  bang a drum you got my eye  and im trying to holla at ya youre walking by  and i trip on the furniture im on a ride that wont stop moving and i dont know exactly what im doing i see you shake  shake  and im spinning its like i won a win race  yeah  im winning im all dizzy when youre here with me so  lets bring the heat cause there aren t nothing to it  just got to do it  you got to own it  own it party to the beat  when its hot like that  party to the beat of your own drum if you got it like that  eh eh  yeah gotta make ya say  eh eh so  bang a drum bang a drum yeah  bang a drum turn it up  bang a drum yeah  bang a drum turn it up  bang a drum bang a drum turn it up  bang a drum yeah  bang a drum turn it up  bang a drum
selena-gomez,selena gomez   fetish  ,take it or leave it baby take it or leave it but i know you wont leave it  cause i know that you need it look in the mirror when i look in the mirror baby i see it clearer why you wanna be nearer im not surprised i sympathize  ah i cant deny your appetite  ah you got a fetish for my love i push you out and you come right back don t see a point in blaming you if i were you  id do me too you got a fetish for my love i push you out and you come right back dont see a point in blaming you if i were you  id do me too you got a fetish for my love reaching your limit say youre reaching your limit going over your limit but i know you cant quit it something about me got you hooked on my body take you over and under and twisted up like origami im not surprised i sympathize  ah i cant deny your appetite  ah you got a fetish for my love i push you out and you come right back don t see a point in blaming you if i were you  i d do me too you got a fetish for my love i push you out and you come right back dont see a point in blaming you if i were you  i d do me too you got a fetish for my love i push you out and you come right back dont see a point in blaming you if i were you  id do me too you got a fetish for my love i push you out and you come right back dont see a point in blaming you if i were you  i d do me too you got a fetish for my love
selena-gomez,magic   pilot,oh  oh  oh its magic  you know never believe its not so its magic  you know never believe  its not so ive never been awake ive never seen a daybreak leaning on my pillow in the morning a lazy day in bed music in my head crazy music playing in the morning light oh  oh  oh its magic  you know never believe its not so its magic  you know never believe  its not so  i love a sunny day i dream of far away dreaming on my pillow in the morning ive never been awake ive never seen a daybreak leaning on my pillow in the morning light oh  oh  oh its magic  you know never believe its not so its magic  you know never believe  its not so  oh  oh  oh its magic  you know never believe its not so its magic  you know never believe  its not so  never believe  
selena-gomez,charlie puth   we don t talk anymore  ,we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore like we used to do i just heard you found the one youve been looking youve been looking for i wish i would have known that wasnt me cause even after all this time i still wonder why i cant move on just the way you did so easily dont wanna know what kind of dress youre wearing tonight if hes holding onto you so tight the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain ooh  its such a shame that we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore like we used to do like we used to do i just hope youre lying next to somebody who knows how to love you like me there must be a good reason that youre gone every now and then i think you might want me to come show up at your door but im just too afraid that ill be wrong dont wanna know if youre looking into her eyes if shes holding onto you so tight the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain ooh  its such a shame that we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore like we used to do dont wanna know what kind of dress youre wearing tonight if hes giving it to you just right the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain ooh  its such a shame that we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore like we used to do we dont talk anymore  oh  oh the way i did before we dont talk anymore  oh  whoa ooh  its such a shame that we dont talk anymore
selena-gomez,selena gomez   marshmello   wolves  ,in your eyes  theres a heavy blue one to love  and one to lose sweet divide  a heavy truth water or wine  dont make me choose i wanna feel the way that we did that summer night  night drunk on a feeling  alone with the stars in the sky ive been running through the jungle ive been running with the wolves to get to you  to get to you ive been down the darkest alleys saw the dark side of the moon to get to you  to get to you ive looked for love in every stranger took too much to ease the anger all for you  yeah  all for you ive been running through the jungle ive been crying with the wolves to get to you  to get to you  to get to you ive been running to get to you  to get to you ive been running to get to you  to get to you to get to you  to get to you ive looked for love to get to you  to get to you ive been running to get to you  to get to you ive been running to get to you  to get to you ive been running through the jungle ive been running with the wolves to get to you  to get to you ive been down the darkest alleys saw the dark side of the moon to get to you  to get to you ive looked for love in every stranger took too much to ease the anger all for you  yeah  all for you ive been running through the jungle ive been crying with the wolves to get to you  to get to you  to get to you ive been running to get to you  to get to you ive been running to get to you  to get to you to get to you  to get to you ive looked for love to get to you  to get to you ive been running to get to you  to get to you ive been running to get to you  to get to you
selena-gomez,selena gomez   the scene   hit the lights  ,its the boy you never told i like you its the girl you let get away its the one you saw that day on the train but you freaked out and walked away its the plane you wanna catch to vegas things you swear youll do before you die its the city of love that waits for you but youre too damn scared to fly hit the lights let the music move you lose yourself tonight come alive let the moment take you lose control tonight hit the lights let the music move you lose yourself tonight come alive let the moment take you lose control tonight its the time that you totally screwed up still  youre tryna get it out your brain its the fight you had when you didnt make up its the past that youre dying to change its all the money that youre savin while the good life passes by its all the dreams that never came true cause youre too damn scared to try hit the lights let the music move you lose yourself tonight come alive let the moment take you lose control tonight hit the lights let the music move you lose yourself tonight come alive let the moment take you lose control tonight its a mad  mad world  gotta make an escape its a perfect world when you go all the way hit the lights let the music move you lose yourself tonight so lets go  go  go  go all the way yeah  lets go  go  go  go night and day from the floor to the rafters people  raise your glasses we could dance forever hit the lights let the music move you lose yourself tonight  come alive let the moment take you lose control tonight its a mad  mad world  gotta make an escape its a perfect world when you go all the way hit the lights let the music move you lose yourself tonight
selena-gomez,zedd   i want you to know  ,i want you to know that its our time you and me bleed the same light i want you to know that im all yours you and me run the same course im slipping down a chain reaction and here i go  here i go  here i go  go and once again  im yours in fractions it takes me down  pulls me down  pulls me down low honey  its raining tonight but storms always have an eye  have an eye tell me your cover tonight or tell me lies  tell me lies  lies  lies i want you to know that its our time you and me bleed the same light i want you to know that im all yours you and me  were the same force i want you to know that its our time you and me bleed the same light i want you to know that im all yours you and me run the same course you and me run the same course you and me run the same course
selena-gomez,coldplay   selena gomez   let somebody go  ,we had a kind of love i thought that it would never end oh  my lover  oh  my other  oh  my friend we talked around in circles and we talked around and then i loved you to the moon and back again you gave everything this golden glow now turn off all the stars cause this i know that it hurts like so to let somebody go all the storms we weathered everything that we went through now without you  what on earth am i to do  when i called the mathematicians and i asked them to explain they said love is only equal to the pain and when everything was going wrong you could turn my sorrow into song oh  it hurts like so to let somebody go to let somebody go  oh  oh oh  oh  oh oh oh  oh oh   when you love somebody  when you love somebody  got to let somebody know oh  oh oh   when you love somebody  when you love somebody  got to let somebody know so when you love somebody when you love somebody then it hurts like so to let somebody go it hurts like so to let somebody go but youre still with me now  i know oh  but youre still with me now  i know
selena-gomez,conner smith   take it slow  lyric video     ,my world you tried to change it all but i said hey  let s take it slow there was something kept us to not make it together we ended it all  you changed with another just for show how do you want me to believe that you were lover  i called you mine and there was nothing mine at all  cause you owned yourself just to owe to other girl spoke the words i wanted to hear to watch me fall baby  we should ve ruled but you ruined my world you cried to me like i was the one which crucified said you have changed baby  have you changed  but you looked me in the eye even though you lied i fell to my knees  without knowing that you revenged i called you mine and there was nothing mine at all  cause you owned yourself just to owe to other girl spoke the words i wanted to hear to watch me fall baby  we should ve ruled but you ruined my world so many years spent but you replaced like it s wasted big love  big crush and it ended in the way i couldn t take i start to wonder that if she tastes the way i tasted darling  i still got the same tiny heart that you still break i called you mine and there was nothing mine at all  cause you owned yourself just to owe to other girl spoke the words i wanted to hear to watch me fall baby  we should ve ruled but you ruined my world so many years spent but you replaced like it s wasted big love  big crush and it ended with your one word i start to wonder that if you still taste like you d tasted baby  we should ve ruled it but you ruined my world
selena-gomez,we don t talk anymore       charlie puth,we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore like we used to do i just heard you found the one youve been looking youve been looking for i wish i would have known that wasnt me cause even after all this time i still wonder why i cant move on just the way you did so easily dont wanna know what kind of dress youre wearing tonight if hes holding onto you so tight the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh  its such a shame that we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore like we used to do i just hope youre lying next to somebody who knows how to love you like me there must be a good reason that youre gone every now and then i think you might want me to come show up at your door but im just too afraid that ill be wrong dont wanna know if youre looking into her eyes if shes holding onto you so tight the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh  its such a shame that we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore like we used to do like we used to do dont wanna know what kind of dress youre wearing tonight if hes giving it to you just right the way i did before i overdosed shouldve known your love was a game now i cant get you out of my brain oh  its such a shame that we dont talk anymore  we dont talk anymore we dont talk anymore  like we used to do we dont love anymore what was all of it for  oh  we dont talk anymore like we used to do we dont talk anymore  oh  oh the way i did before we dont talk anymore  oh  woah oh  its such a shame that we dont talk anymore 
selena-gomez,selena gomez   me   the rhythm  ,ooh  the rhythm takes you over takes you to a different place a different space ooh  the smoke is getting closer i can feel our young blood race through cityscapes and everybody wants to be touched everybody wants to get some but dont you play a song about love when i move my body i dont have to talk about none let the chemicals do its stuff til the energy is too much yeah  all i need is the rhythm me and the rhythm nothing between yeah  the rhythm me and the rhythm and i know  i know  i know i cant fight it i wont  i wont  i wont deny it oh no  oh no  oh no id be lying if i said i didnt need yeah  the rhythm me and the rhythm ooh  i start to feel it now feeling like im truly free im free in me ooh  the heats a common ground no matter whats your history be free with me  oh and everybody wants to be touched everybody wants to get some but dont you play a song about love when i move my body i dont have to talk about none let the chemicals do its stuff til the energy is too much yeah  all i need is the rhythm me and the rhythm nothing between yeah  the rhythm me and the rhythm and i know  i know  i know i cant fight it i wont  i wont  i wont deny it oh no  oh no  oh no id be lying if i said i didnt need yeah  the rhythm me and the rhythm if you feel like youre the spark then come out of the dark if you feel like youre the spark then come out of the dark if you feel like youre the spark then come out of the dark if you feel like youre the spark then come out of the dark yeah  all i need is the rhythm me and the rhythm nothing between yeah  the rhythm me and the rhythm and i know  i know  i know i cant fight it i wont  i wont  i wont deny it oh no  oh no  oh no id be lying if i said i didnt need yeah  the rhythm me and the rhythm
selena-gomez,it ain t me       ,it aint me it aint me it aint me i had a dream we were sipping whiskey neat highest floor  the bowery nowheres high enough somewhere along the lines we stopped seeing eye to eye you were staying out all night and i had enough no  i dont wanna know where you been or where youre going but i know i wont be home and youll be on your own whos gonna walk you through the dark side of the morning  whos gonna rock you when the sun wont let you sleep  it aint me the bowery  whiskey neat    it aint me the bowery  whiskey neat    it aint me the bowery  whiskey neat    it aint me the bowery  whiskey neat    it aint me i had a dream we were back to seventeen summer nights and the libertines never growing up ill take with me the polaroids and the memories but you know im gonna leave behind the worst of us whos gonna walk you through the dark side of the morning  whos gonna rock you when the sun wont let you sleep  whos waking up to drive you home when youre drunk and all alone  whos gonna walk you through the dark side of the morning  it aint me the bowery  whiskey neat    it aint me the bowery  whiskey neat    it aint me the bowery  whiskey neat    it aint me the bowery  whiskey neat    it aint me it aint me
selena-gomez,wolves     marshmello    selena gomez,in your eyes  theres a heavy blue one to love  and one to lose sweet divide  a heavy truth water or wine  dont make me choose i wanna feel the way that we did that summer night  night drunk on a feeling  alone with the stars in the sky ive been running through the jungle ive been running with the wolves to get to you  to get to you ive been down the darkest alleys saw the dark side of the moon to get to you  to get to you ive looked for love in every stranger took too much to ease the anger all for you  yeah  all for you ive been running through the jungle ive been crying with the wolves to get to you  to get to you  to get to you to get to you to get to you to get to you to get to you your fingertips trace my skin to places i have never been blindly  i am following break down these walls and come on in i wanna feel the way that we did that summer night  night drunk on a feeling  alone with the stars in the sky ive been running through the jungle ive been running with the wolves to get to you  to get to you ive been down the darkest alleys saw the dark side of the moon to get to you  to get to you ive looked for love in every stranger took too much to ease the anger all for you  yeah  all for you ive been running through the jungle ive been crying with the wolves to get to you  to get to you  to get to you to get to you to get to you to get to you to get to you ive been running through the jungle ive been running with the wolves to get to you  to get to you ive been down the darkest alleys saw the dark side of the moon to get to you  to get to you ive looked for love in every stranger took too much to ease the anger all for you  yeah  all for you ive been running through the jungle ive been crying with the wolves to get to you  to get to you  to get to you
